"","code","borough","ward_name","year","population","hectares","square_kilometres","population_per_hectare","population_per_square_kilometre"
"273","E05000298","Harrow","Pinner South",2022,11144,235.3,2.353,47.36081598,4736.081598
"274","E05000299","Harrow","Queensbury",2022,12527,161.3,1.613,77.66274024,7766.274024
"275","E05000300","Harrow","Rayners Lane",2022,11690,153,1.53,76.40522876,7640.522876
"276","E05000301","Harrow","Roxbourne",2022,13316,150.6,1.506,88.41965471,8841.965471
"277","E05000302","Harrow","Roxeth",2022,11752,157.6,1.576,74.56852792,7456.852792
"278","E05000303","Harrow","Stanmore Park",2022,12405,445.6,4.456,27.83886894,2783.886894
"279","E05000304","Harrow","Wealdstone",2022,13005,119.3,1.193,109.0108969,10901.08969
"280","E05000305","Harrow","West Harrow",2022,11067,152.1,1.521,72.76134122,7276.134122
"281","E05000306","Havering","Brooklands",2022,20545,420.1,4.201,48.90502261,4890.502261
"282","E05000307","Havering","Cranham",2022,13377,655.6,6.556,20.40420988,2040.420988
"283","E05000308","Havering","Elm Park",2022,14013,366.7,3.667,38.21379875,3821.379875
"284","E05000309","Havering","Emerson Park",2022,12494,463.9,4.639,26.93252856,2693.252856
"285","E05000310","Havering","Gooshays",2022,16715,776.1,7.761,21.53717304,2153.717304
"286","E05000311","Havering","Hacton",2022,13239,246.1,2.461,53.7952052,5379.52052
"287","E05000312","Havering","Harold Wood",2022,15588,759.6,7.596,20.52132701,2052.132701
"288","E05000313","Havering","Havering Park",2022,13758,978.8,9.788,14.05598692,1405.598692
"289","E05000314","Havering","Heaton",2022,14371,341.5,3.415,42.08199122,4208.199122
"290","E05000315","Havering","Hylands",2022,13719,290.2,2.902,47.27429359,4727.429359
"291","E05000316","Havering","Mawneys",2022,13791,304.9,3.049,45.23122335,4523.122335
"292","E05000317","Havering","Pettits",2022,13909,395.3,3.953,35.18593473,3518.593473
"293","E05000318","Havering","Rainham and Wennington",2022,13387,1690,16.9,7.921301775,792.1301775
"294","E05000319","Havering","Romford Town",2022,20726,286.6,2.866,72.31681786,7231.681786
"295","E05000320","Havering","St Andrew's",2022,14462,268.7,2.687,53.82210644,5382.210644
"296","E05000321","Havering","South Hornchurch",2022,18679,684.7,6.847,27.28056083,2728.056083
"297","E05000322","Havering","Squirrel's Heath",2022,14689,264.6,2.646,55.51398337,5551.398337
"298","E05000323","Havering","Upminster",2022,13904,2253.4,22.534,6.17023165,617.023165
