gss_code,five_min_area,count_5m,ten_min_area,count_10m,fifteen_min_area,count_15m,twenty_min_area,count_20m,twenty_five_min_area,count_25m,twenty_five_plus_area,count_25_plus,ward_name.x,borough_name,borough_area,os_area,open_space_with_access,med_caring,med_enjoying,med_learning,med_living,med_supplying,med_div_score,med_prox_score,med_total_score,med_func_comp,med_log_func_comp,ward_name.y,ward_hectares,borough.x,ward_name2,borough.y,ward_name,year,population,hectares,square_kilometres,population_per_hectare,population_per_square_kilometre
E05000067,309997.09000017,"31",640000.90005942,"64",590000.03003299,"59",279999.8199392,"28",129997.65998868,"13",169997.1099979,"17",Blendon and Penhill,Bexley,2097933.77,288898.3957,193420.1072,1,7,0,2,6,0.8,0.6,1.4,3,1.09861228866811,Blendon and Penhill,209.79,Bexley,Blendon and Penhill,Bexley,Blendon and Penhill,"2022","11000",209.8,2.098,52.43088656,5243.088656
E05000068,370000.55003652,"37",670000.8299411,"67",500001.08007208,"50",309995.22994524,"31",120000.25998062,"12",29999.22998422,"3",Brampton,Bexley,1967480.755,179061.9342,125456.1702,2,9,1,2,10,0.8,0.8,1.4,4.6,1.52605630349505,Brampton,196.746,Bexley,Brampton,Bexley,Brampton,"2022","11228",197.3,1.973,56.90826153,5690.826153
E05000069,60000.9700015,"6",490004.56999515,"49",649996.6499634,"65",489999.79005626,"49",300000.7899188,"30",610008.20001875,"61",Christchurch,Bexley,2552070.18,441267.859,127487.766,0,3,1,3,1,0.8,0.4,1.2,1.4,0.336472236621213,Christchurch,255.207,Bexley,Christchurch,Bexley,Christchurch,"2022","12749",254.8,2.548,50.03532182,5003.532182
E05000070,120001.06999119,"12",239997.39004906,"24",570005.33998196,"57",440000.15990536,"44",189997.99001204,"19",69995.71002708,"7",Colyers,Bexley,1643925.57,213475.5314,58472.27101,1,1,1,3,2,0.8,0.6,1.4,1.4,0.336472236621213,Colyers,164.393,Bexley,Colyers,Bexley,Colyers,"2022","10874",164.1,1.641,66.26447288,6626.447288
E05000071,250001.62999754,"25",569998.34999202,"57",440002.26007578,"44",567124.3721394,"56",336301.64691375,"33",1806367.58717042,"180",Crayford,Bexley,3972244.185,1654728.78,869589.1602,9,34,3,8,33,1,0.2,1.2,18.8,2.9338568698359,Crayford,397.229,Bexley,Crayford,Bexley,Crayford,"2022","14450",396.8,3.968,36.41633065,3641.633065
E05000072,399998.7500586,"40",509998.90998107,"51",629998.66003027,"63",560000.51996842,"56",509999.42992814,"51",4583238.99367967,"459",Cray Meadows,Bexley,7190296.8,4432935.303,1943947.357,0,5,0,2,5,0.6,0,0.8,2,0.693147180559945,Cray Meadows,719.031,Bexley,Cray Meadows,Bexley,Cray Meadows,"2022","12437",718.4,7.184,17.31208241,1731.208241
E05000073,120000.55997821,"12",509990.83008087,"51",710005.2799847,"71",400006.39001019,"40",240000.82996199,"24",689998.61998788,"69",Danson Park,Bexley,2713248.14,986479.7945,872952.4382,1,8,1,3,6,0.8,0.6,1.2,3.4,1.22377543162212,Danson Park,271.324,Bexley,Danson Park,Bexley,Danson Park,"2022","11697",271.6,2.716,43.06701031,4306.701031
E05000074,210001.95004031,"21",700001.39993332,"70",529998.68004893,"53",270001.55993375,"27",179998.87008028,"18",279994.01995688,"28",East Wickham,Bexley,2173116.78,583235.538,449191.0396,1,0,1,2,1,0.8,0.6,1.4,1,0,East Wickham,217.313,Bexley,East Wickham,Bexley,East Wickham,"2022","11773",216.9,2.169,54.27846934,5427.846934
E05000075,599999.31008102,"60",1029999.0399491,"103",789997.3800612,"79",360002.57992959,"36",160002.57000559,"16",469998.95004104,"47",Erith,Bexley,4753343.585,2121091.471,1922376.501,0,2,0,2,3,0.6,0.6,1.2,1.6,0.470003629245736,Erith,475.333,Bexley,Erith,Bexley,Erith,"2022","15914",475.6,4.756,33.46089151,3346.089151
E05000076,140001.38999201,"14",630003.31000481,"63",609994.67000335,"61",209998.10006275,"21",39999.66004061,"4",49999.37995281,"5",Falconwood and Welling,Bexley,1670255.06,11575.81314,0.0001,3,12,3,6,6,1,0.6,1.6,6,1.79175946922806,Falconwood and Welling,167.026,Bexley,Falconwood and Welling,Bexley,Falconwood and Welling,"2022","11360",166.5,1.665,68.22822823,6822.822823
E05000077,409995.53008864,"41",630001.77994552,"63",389998.87993372,"39",350001.03996506,"35",159998.90997713,"16",410001.16003746,"41",Lesnes Abbey,Bexley,2370200.445,876677.9796,810677.2249,1,3,0,2,1,0.6,0.6,1.2,1.2,0.182321556793955,Lesnes Abbey,237.019,Bexley,Lesnes Abbey,Bexley,Lesnes Abbey,"2022","13178",237,2.37,55.60337553,5560.337553
E05000078,290003.70999096,"29",560003.60004791,"56",799996.64002337,"80",410000.16999314,"41",249996.58986444,"25",309996.24000523,"31",Longlands,Bexley,2597238.955,750274.5921,390956.4238,2,3,0,2,4,0.8,0.6,1.4,2.2,0.78845736036427,Longlands,259.723,Bexley,Longlands,Bexley,Longlands,"2022","11054",259.2,2.592,42.64660494,4264.660494
E05000079,330002.50993723,"33",739994.22021039,"74",420001.69996226,"42",239998.18997407,"24",230001.89997713,"23",2443548.89434813,"243",North End,Bexley,5680089.48,3709105.873,2464691.696,1,3,1,4,1,0.8,0,0.8,1.8,0.587786664902119,North End,568.001,Bexley,North End,Bexley,North End,"2022","14025",568.9,5.689,24.65283881,2465.283881
E05000080,339997.80997384,"34",780006.26998061,"78",399994.87016406,"40",110000.96993323,"11",99996.95001575,"10",19999.49998919,"2",Northumberland Heath,Bexley,1752806.04,239001.6844,170250.2809,2,3,0.5,0,3,0.6,0.8,1.4,1.6,0.470003629245736,Northumberland Heath,175.282,Bexley,Northumberland Heath,Bexley,Northumberland Heath,"2022","10756",176.3,1.763,61.00964265,6100.964265
E05000081,291627.59001408,"29",638373.55738307,"64",765060.45520857,"76",590008.8700282,"59",747285.52936578,"74",1357037.37196251,"137",St. Mary's,Bexley,4428495.225,2073115.947,939539.0603,2,4,0,4,2,0.6,0.4,1,1.6,0.470003629245736,St. Mary's,442.853,Bexley,St. Mary's,Bexley,St Mary's,"2022","11981",442.9,4.429,27.0512531,2705.12531
E05000082,69999.87998671,"7",290001.90001618,"29",479999.87002972,"48",480005.16999683,"48",129998.83998241,"13",,,St. Michael's,Bexley,1448148.25,85442.84935,12835.08194,2,5,2,2,3,1,0.6,1.6,2.6,0.955511445027436,St. Michael's,144.814,Bexley,St. Michael's,Bexley,St Michael's,"2022","11656",144.4,1.444,80.72022161,8072.022161
E05000083,290000.53997675,"29",600002.3200633,"60",630004.43001042,"63",400000.41000025,"40",380000.44997912,"38",400000.39999981,"40",Sidcup,Bexley,2703462.075,697114.5993,361928.3861,2,1,2,2,1,0.8,0.6,1.4,1.8,0.587786664902119,Sidcup,270.347,Bexley,Sidcup,Bexley,Sidcup,"2022","12411",270.2,2.702,45.93264249,4593.264249
E05000084,120000.11003121,"12",230003.21000126,"23",349992.39996849,"35",330001.06994652,"33",340000.28000685,"34",2650008.15003248,"265",Thamesmead East,Bexley,4833681.28,3407023.099,1965476.901,0,2,1,0,2,0.6,0,0.6,1,0,Thamesmead East,483.369,Bexley,Thamesmead East,Bexley,Thamesmead East,"2022","13940",483.7,4.837,28.81951623,2881.951623
E05000085,350005.24000526,"35",550004.67990175,"55",309997.38006388,"31",389994.86010552,"39",169999.91993079,"17",279993.50994432,"28",Alperton,Brent,2058549.49,365285.069,181113.7558,1,4,0,4,4,0.8,0.6,1.2,1.8,0.587786664902119,Alperton,205.853,Brent,Alperton,Brent,Alperton,"2022","18922",205.8,2.058,91.9436346,9194.36346
E05000086,299993.45011174,"30",750002.41992218,"75",830003.83996319,"83",479999.68999583,"48",170000.30999517,"17",430000.45999384,"43",Barnhill,Brent,2979037.365,941875.9939,595455.3391,3,1,1,2,5,1,0.6,1.4,2.6,0.955511445027436,Barnhill,297.908,Brent,Barnhill,Brent,Barnhill,"2022","17047",297.5,2.975,57.30084034,5730.084034
E05000087,170001.94001744,"17",549996.13006831,"55",599995.39995657,"60",219997.41986162,"22",120002.77001571,"12",39999.7999897,"4",Brondesbury Park,Brent,1729424.305,168445.9758,27998.38562,0,1,0,0,6,0.4,0.6,1.2,1.6,0.470003629245735,Brondesbury Park,172.942,Brent,Brondesbury Park,Brent,Brondesbury Park,"2022","13326",172.2,1.722,77.38675958,7738.675958
E05000088,530001.39993521,"53",809999.01000245,"81",619998.75008523,"62",349993.13001313,"35",30000.03999542,"3",,,Dollis Hill,Brent,2299550.525,612564.0785,523113.0952,1,3,1,2,2,0.8,0.8,1.6,1.6,0.470003629245736,Dollis Hill,229.956,Brent,Dollis Hill,Brent,Dollis Hill,"2022","14354",229.8,2.298,62.46301131,6246.301131
E05000089,200002.21004573,"20",579997.48000872,"58",460001.34000089,"46",269996.87011183,"27",210000.75996354,"21",,,Dudden Hill,Brent,1681457.985,194978.1393,109453.9089,2,3,2,2,4,1,0.6,1.6,3,1.09861228866811,Dudden Hill,168.144,Brent,Dudden Hill,Brent,Dudden Hill,"2022","17229",168.2,1.682,102.431629,10243.1629
